task_id,domain,position,align_len,early_auc
math_15,math,pre_task,370,0.07709318399429321
math_15,math,post_task,370,0.1324651837348938
math_15,math,pre_reasoning,370,0.1145356297492981
math_15,math,mid_reasoning_pre,130,4.118680953979492e-05
math_15,math,mid_reasoning_post,60,0.6517736911773682
qa_14,qa,pre_task,250,0.027073800563812256
qa_14,qa,post_task,434,0.07483875751495361
qa_14,qa,pre_reasoning,434,0.06208479404449463
qa_14,qa,mid_reasoning_pre,229,2.110004425048828e-05
qa_14,qa,mid_reasoning_post,60,1.1277803778648376
code_13,code,pre_task,343,0.0859333872795105
code_13,code,post_task,343,0.08230900764465332
code_13,code,pre_reasoning,343,0.09733593463897705
code_13,code,mid_reasoning_pre,108,1.7881393432617188e-07
code_13,code,mid_reasoning_post,60,1.952097237110138
math_13,math,pre_task,334,0.046334147453308105
math_13,math,post_task,334,0.07226461172103882
math_13,math,pre_reasoning,334,0.050599873065948486
math_13,math,mid_reasoning_pre,96,5.960464477539063e-08
math_13,math,mid_reasoning_post,60,0.7216416597366333
code_1,code,pre_task,386,0.0227358341217041
code_1,code,post_task,386,0.04824346303939819
code_1,code,pre_reasoning,386,0.07984656095504761
code_1,code,mid_reasoning_pre,155,1.0251998901367188e-05
code_1,code,mid_reasoning_post,60,0.3322452902793884
code_10,code,pre_task,413,0.019193291664123535
code_10,code,post_task,413,0.09435158967971802
code_10,code,pre_reasoning,413,0.13924598693847656
code_10,code,mid_reasoning_pre,177,1.9669532775878906e-05
code_10,code,mid_reasoning_post,60,0.24300193786621094
math_5,math,pre_task,332,0.061801910400390625
math_5,math,post_task,332,0.11266005039215088
math_5,math,pre_reasoning,332,0.10530108213424683
math_5,math,mid_reasoning_pre,92,1.1920928955078125e-07
math_5,math,mid_reasoning_post,60,0.47930908203125
math_0,math,pre_task,341,0.03407561779022217
math_0,math,post_task,341,0.09433537721633911
math_0,math,pre_reasoning,341,0.1529088020324707
math_0,math,mid_reasoning_pre,101,1.1920928955078125e-07
math_0,math,mid_reasoning_post,60,0.6847476363182068
math_16,math,pre_task,329,0.06922805309295654
math_16,math,post_task,329,0.06802171468734741
math_16,math,pre_reasoning,328,0.13697105646133423
math_16,math,mid_reasoning_pre,106,2.2709369659423828e-05
math_16,math,mid_reasoning_post,60,0.7962095737457275
qa_18,qa,pre_task,475,0.03794318437576294
qa_18,qa,post_task,414,0.07931190729141235
qa_18,qa,pre_reasoning,414,0.09368181228637695
qa_18,qa,mid_reasoning_pre,240,2.0265579223632812e-05
qa_18,qa,mid_reasoning_post,60,1.019433081150055
qa_6,qa,pre_task,431,0.07970011234283447
