task_id,domain,monitoring,brevity,early_auc
math_15,math,hidden,brief,2.977916866540909
math_15,math,hidden,one_sentence,2.713820219039917
math_15,math,monitored,none,2.8956880271434784
math_15,math,monitored,brief,3.0463004410266876
math_15,math,monitored,one_sentence,3.113645911216736
qa_14,qa,hidden,brief,1.9621823728084564
qa_14,qa,hidden,one_sentence,2.456318497657776
qa_14,qa,monitored,none,2.598131835460663
qa_14,qa,monitored,brief,1.969773769378662
qa_14,qa,monitored,one_sentence,2.6796639561653137
code_13,code,hidden,brief,2.8530605733394623
code_13,code,hidden,one_sentence,3.305369794368744
code_13,code,monitored,none,3.2583689987659454
code_13,code,monitored,brief,3.192383348941803
code_13,code,monitored,one_sentence,3.2132231891155243
math_13,math,hidden,brief,3.2066562175750732
math_13,math,hidden,one_sentence,2.583955317735672
math_13,math,monitored,none,3.181293934583664
math_13,math,monitored,brief,3.3929598331451416
math_13,math,monitored,one_sentence,3.4686630368232727
code_1,code,hidden,brief,2.750917285680771
code_1,code,hidden,one_sentence,2.871565282344818
code_1,code,monitored,none,2.9605543315410614
code_1,code,monitored,brief,3.0358857214450836
code_1,code,monitored,one_sentence,3.00073304772377
code_10,code,hidden,brief,2.2249705493450165
code_10,code,hidden,one_sentence,2.668212056159973
code_10,code,monitored,none,2.7274038195610046
code_10,code,monitored,brief,2.7689875960350037
code_10,code,monitored,one_sentence,2.8048757016658783
math_5,math,hidden,brief,1.5334540009498596
math_5,math,hidden,one_sentence,2.7930784821510315
math_5,math,monitored,none,2.8086545765399933
math_5,math,monitored,brief,2.8834692537784576
math_5,math,monitored,one_sentence,2.957902491092682
math_0,math,hidden,brief,2.1829161047935486
math_0,math,hidden,one_sentence,3.240970730781555
math_0,math,monitored,none,3.2916496992111206
math_0,math,monitored,brief,3.2702656388282776
math_0,math,monitored,one_sentence,3.4184204936027527
math_16,math,hidden,brief,0.18524659797549248
math_16,math,hidden,one_sentence,2.6435145139694214
math_16,math,monitored,none,3.2551870942115784
math_16,math,monitored,brief,3.2087808549404144
math_16,math,monitored,one_sentence,3.08869668841362
qa_18,qa,hidden,brief,0.3533937893807888
qa_18,qa,hidden,one_sentence,0.6050407141447067
qa_18,qa,monitored,none,0.6602907553315163
qa_18,qa,monitored,brief,0.6804299727082253
qa_18,qa,monitored,one_sentence,0.6801434233784676
qa_6,qa,hidden,brief,2.198816239833832
qa_6,qa,hidden,one_sentence,2.279096841812134
qa_6,qa,monitored,none,1.6208056658506393
qa_6,qa,monitored,brief,2.3200826942920685
qa_6,qa,monitored,one_sentence,2.281104177236557
code_17,code,hidden,brief,2.511498659849167
code_17,code,hidden,one_sentence,2.573043644428253
code_17,code,monitored,none,2.64166921377182
code_17,code,monitored,brief,2.6287184953689575
code_17,code,monitored,one_sentence,2.5725600719451904
code_11,code,hidden,brief,3.0657203793525696
code_11,code,hidden,one_sentence,3.1053161919116974
code_11,code,monitored,none,3.0896309912204742
code_11,code,monitored,brief,3.112225741147995
code_11,code,monitored,one_sentence,3.1689300537109375
math_10,math,hidden,brief,2.7804214358329773
math_10,math,hidden,one_sentence,2.836633563041687
math_10,math,monitored,none,2.9164831936359406
math_10,math,monitored,brief,2.8249504566192627
math_10,math,monitored,one_sentence,3.087258368730545
code_18,code,hidden,brief,3.035653591156006
code_18,code,hidden,one_sentence,2.5097806453704834
code_18,code,monitored,none,3.037677437067032
code_18,code,monitored,brief,2.569186508655548
code_18,code,monitored,one_sentence,3.0596274733543396
qa_4,qa,hidden,brief,0.03732020268216729
qa_4,qa,hidden,one_sentence,0.3410797119140625
qa_4,qa,monitored,none,0.4202718585729599
qa_4,qa,monitored,brief,0.42248450964689255
qa_4,qa,monitored,one_sentence,0.4379613772034645
qa_1,qa,hidden,brief,0.3288927264511585
qa_1,qa,hidden,one_sentence,0.5206511840224266
qa_1,qa,monitored,none,0.4145568832755089
qa_1,qa,monitored,brief,0.5437611639499664
qa_1,qa,monitored,one_sentence,0.5522909909486771
math_14,math,hidden,brief,2.833044558763504
math_14,math,hidden,one_sentence,3.2284694612026215
math_14,math,monitored,none,3.295306921005249
math_14,math,monitored,brief,3.235987275838852
math_14,math,monitored,one_sentence,3.111483722925186
qa_11,qa,hidden,brief,2.830124169588089
qa_11,qa,hidden,one_sentence,3.0096406042575836
qa_11,qa,monitored,none,0.7432422190904617
qa_11,qa,monitored,brief,2.985140085220337
qa_11,qa,monitored,one_sentence,2.951681226491928
code_15,code,hidden,brief,2.256350666284561
code_15,code,hidden,one_sentence,3.2456561028957367
code_15,code,monitored,none,3.156813859939575
code_15,code,monitored,brief,3.3141476213932037
code_15,code,monitored,one_sentence,3.343294680118561
qa_17,qa,hidden,brief,2.9062130749225616
qa_17,qa,hidden,one_sentence,3.213586449623108
qa_17,qa,monitored,none,3.302998185157776
qa_17,qa,monitored,brief,3.3605034351348877
qa_17,qa,monitored,one_sentence,3.369664788246155
math_12,math,hidden,brief,2.6435914039611816
math_12,math,hidden,one_sentence,3.139487326145172
math_12,math,monitored,none,3.346752643585205
math_12,math,monitored,brief,3.2927480340003967
math_12,math,monitored,one_sentence,3.3803537487983704
code_16,code,hidden,brief,3.1379104554653168
code_16,code,hidden,one_sentence,2.604896605014801
code_16,code,monitored,none,3.176532417535782
code_16,code,monitored,brief,3.2059011459350586
code_16,code,monitored,one_sentence,3.2233147025108337
math_4,math,hidden,brief,2.6773972511291504
math_4,math,hidden,one_sentence,2.4950276613235474
math_4,math,monitored,none,2.810410052537918
math_4,math,monitored,brief,2.7599663734436035
math_4,math,monitored,one_sentence,2.7085761427879333
qa_8,qa,hidden,brief,3.209542751312256
qa_8,qa,hidden,one_sentence,3.6999067068099976
qa_8,qa,monitored,none,3.655748426914215
qa_8,qa,monitored,brief,3.729858636856079
qa_8,qa,monitored,one_sentence,3.8012882471084595
math_7,math,hidden,brief,2.9988605082035065
math_7,math,hidden,one_sentence,3.2519812285900116
math_7,math,monitored,none,3.273074060678482
math_7,math,monitored,brief,3.3791144490242004
math_7,math,monitored,one_sentence,3.285425841808319
code_12,code,hidden,brief,2.850943088531494
code_12,code,hidden,one_sentence,2.477674573659897
code_12,code,monitored,none,2.9019027650356293
code_12,code,monitored,brief,2.9170750081539154
code_12,code,monitored,one_sentence,2.966271221637726
qa_9,qa,hidden,brief,0.0347017515450716
qa_9,qa,hidden,one_sentence,0.31697802245616913
qa_9,qa,monitored,none,0.39323509857058525
qa_9,qa,monitored,brief,0.39502475410699844
qa_9,qa,monitored,one_sentence,0.4082564041018486
qa_12,qa,hidden,brief,2.1799259185791016
qa_12,qa,hidden,one_sentence,2.894612342119217
qa_12,qa,monitored,none,2.9278112649917603
qa_12,qa,monitored,brief,2.936973422765732
qa_12,qa,monitored,one_sentence,2.933760404586792
math_3,math,hidden,brief,2.5373556315898895
math_3,math,hidden,one_sentence,2.794362097978592
math_3,math,monitored,none,3.085073173046112
math_3,math,monitored,brief,3.088620752096176
math_3,math,monitored,one_sentence,3.3533105850219727
qa_15,qa,hidden,brief,1.1498096287250519
qa_15,qa,hidden,one_sentence,2.719467580318451
qa_15,qa,monitored,none,1.6647995114326477
qa_15,qa,monitored,brief,2.8651732802391052
qa_15,qa,monitored,one_sentence,2.9273930191993713
code_14,code,hidden,brief,3.1337456107139587
code_14,code,hidden,one_sentence,3.378532648086548
code_14,code,monitored,none,3.491300046443939
code_14,code,monitored,brief,3.554337203502655
code_14,code,monitored,one_sentence,3.472491204738617
qa_2,qa,hidden,brief,1.2811370342969894
qa_2,qa,hidden,one_sentence,3.231691360473633
qa_2,qa,monitored,none,3.077719897031784
qa_2,qa,monitored,brief,3.288933575153351
qa_2,qa,monitored,one_sentence,3.320271670818329
math_17,math,hidden,brief,3.1478483974933624
math_17,math,hidden,one_sentence,3.4863772988319397
math_17,math,monitored,none,3.4130788445472717
math_17,math,monitored,brief,3.3603174686431885
math_17,math,monitored,one_sentence,3.5121527910232544
math_19,math,hidden,brief,2.8301215171813965
math_19,math,hidden,one_sentence,3.007232427597046
math_19,math,monitored,none,3.210187792778015
math_19,math,monitored,brief,3.1355545818805695
math_19,math,monitored,one_sentence,3.2279096245765686
qa_5,qa,hidden,brief,2.0449558794498444
qa_5,qa,hidden,one_sentence,3.1717224419116974
qa_5,qa,monitored,none,0.7410925775766373
qa_5,qa,monitored,brief,3.067052721977234
qa_5,qa,monitored,one_sentence,3.172962039709091
qa_3,qa,hidden,brief,2.2956198155879974
qa_3,qa,hidden,one_sentence,2.5457885563373566
qa_3,qa,monitored,none,2.962575316429138
qa_3,qa,monitored,brief,2.8993734419345856
qa_3,qa,monitored,one_sentence,2.942763537168503
math_11,math,hidden,brief,2.14340540766716
math_11,math,hidden,one_sentence,2.7728424668312073
math_11,math,monitored,none,2.546029806137085
math_11,math,monitored,brief,2.54617840051651
math_11,math,monitored,one_sentence,2.8723365664482117
math_2,math,hidden,brief,2.7649418711662292
math_2,math,hidden,one_sentence,2.939307689666748
math_2,math,monitored,none,3.279686838388443
math_2,math,monitored,brief,2.422445982694626
math_2,math,monitored,one_sentence,3.579883873462677
code_2,code,hidden,brief,2.9583888053894043
code_2,code,hidden,one_sentence,3.14210045337677
code_2,code,monitored,none,3.210188567638397
code_2,code,monitored,brief,3.2117898166179657
code_2,code,monitored,one_sentence,3.1529142260551453
qa_7,qa,hidden,brief,2.4645200073719025
qa_7,qa,hidden,one_sentence,2.676686614751816
qa_7,qa,monitored,none,2.714396059513092
qa_7,qa,monitored,brief,2.7041744589805603
qa_7,qa,monitored,one_sentence,2.6248788237571716
code_9,code,hidden,brief,2.8423663079738617
code_9,code,hidden,one_sentence,3.003671646118164
code_9,code,monitored,none,3.0158442556858063
code_9,code,monitored,brief,2.991072863340378
code_9,code,monitored,one_sentence,3.0119914412498474
code_7,code,hidden,brief,0.02235707058571279
code_7,code,hidden,one_sentence,2.477323830127716
code_7,code,monitored,none,3.096668690443039
code_7,code,monitored,brief,3.108889192342758
code_7,code,monitored,one_sentence,3.040847808122635
math_1,math,hidden,brief,2.784518837928772
math_1,math,hidden,one_sentence,3.1949447691440582
math_1,math,monitored,none,3.33345365524292
math_1,math,monitored,brief,3.336402177810669
math_1,math,monitored,one_sentence,3.2570788860321045
code_4,code,hidden,brief,2.811028391122818
code_4,code,hidden,one_sentence,2.993557423353195
code_4,code,monitored,none,2.9587716162204742
code_4,code,monitored,brief,2.959717094898224
code_4,code,monitored,one_sentence,2.863244414329529
qa_19,qa,hidden,brief,1.5550284534692764
qa_19,qa,hidden,one_sentence,2.6677410006523132
qa_19,qa,monitored,none,3.1805862188339233
qa_19,qa,monitored,brief,3.2365150451660156
qa_19,qa,monitored,one_sentence,3.2118044793605804
qa_13,qa,hidden,brief,0.6915875747799873
qa_13,qa,hidden,one_sentence,0.9412449300289154
qa_13,qa,monitored,none,0.9698864072561264
qa_13,qa,monitored,brief,1.025755986571312
qa_13,qa,monitored,one_sentence,1.0315402448177338
math_6,math,hidden,brief,2.9352667927742004
math_6,math,hidden,one_sentence,3.032027393579483
math_6,math,monitored,none,3.151456445455551
math_6,math,monitored,brief,3.2638917565345764
math_6,math,monitored,one_sentence,3.217536151409149
math_9,math,hidden,brief,3.0003329813480377
math_9,math,hidden,one_sentence,2.9641451239585876
math_9,math,monitored,none,3.1834217309951782
math_9,math,monitored,brief,3.1337181627750397
math_9,math,monitored,one_sentence,3.4450966119766235
math_8,math,hidden,brief,2.4508565068244934
math_8,math,hidden,one_sentence,2.6202701330184937
math_8,math,monitored,none,2.859571933746338
math_8,math,monitored,brief,2.9157007932662964
math_8,math,monitored,one_sentence,2.8525370061397552
code_0,code,hidden,brief,1.9996867179870605
code_0,code,hidden,one_sentence,2.4003895819187164
code_0,code,monitored,none,2.8609545528888702
code_0,code,monitored,brief,2.8827187418937683
code_0,code,monitored,one_sentence,2.9269447028636932
math_18,math,hidden,brief,2.3352141082286835
math_18,math,hidden,one_sentence,2.8266235291957855
math_18,math,monitored,none,2.8789322078227997
math_18,math,monitored,brief,2.878917694091797
math_18,math,monitored,one_sentence,2.9343035221099854
qa_10,qa,hidden,brief,2.07499960064888
qa_10,qa,hidden,one_sentence,2.3344227075576782
qa_10,qa,monitored,none,0.3376174047589302
qa_10,qa,monitored,brief,2.481992244720459
qa_10,qa,monitored,one_sentence,2.4698429703712463
code_6,code,hidden,brief,2.0800646245479584
code_6,code,hidden,one_sentence,1.9661109447479248
code_6,code,monitored,none,2.7832054793834686
code_6,code,monitored,brief,2.934179037809372
code_6,code,monitored,one_sentence,2.9277856647968292
qa_16,qa,hidden,brief,1.2853661477565765
qa_16,qa,hidden,one_sentence,1.29333034157753
qa_16,qa,monitored,none,1.1522771269083023
qa_16,qa,monitored,brief,1.5167058408260345
qa_16,qa,monitored,one_sentence,1.5335806161165237
code_5,code,hidden,brief,1.1944619715213776
code_5,code,hidden,one_sentence,2.7716681957244873
code_5,code,monitored,none,3.050583064556122
code_5,code,monitored,brief,3.0516580641269684
code_5,code,monitored,one_sentence,3.125084340572357
code_19,code,hidden,brief,2.694960743188858
code_19,code,hidden,one_sentence,2.5390813052654266
code_19,code,monitored,none,2.877231538295746
code_19,code,monitored,brief,2.8787236511707306
code_19,code,monitored,one_sentence,2.8971453607082367
qa_0,qa,hidden,brief,0.08615160174667835
qa_0,qa,hidden,one_sentence,0.23447493836283684
qa_0,qa,monitored,none,0.2876756340265274
qa_0,qa,monitored,brief,0.2849610559642315
qa_0,qa,monitored,one_sentence,0.29283227771520615
code_8,code,hidden,brief,2.7862004339694977
code_8,code,hidden,one_sentence,2.537914365530014
code_8,code,monitored,none,2.7439813017845154
code_8,code,monitored,brief,2.756804496049881
